"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"1",1,1,1,1980,38.815,-27.78,10,6.7,"MS",1,8,"AZORES (PORTUGAL)","AZORES:   TERCEIRA, ANGRA DO HEROISMO",69,600,5,84,18771,138,807,18855
"2",2,1,1,1996,0.729,119.931,24,7.9,"MW",1,6,"INDONESIA","INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",1,583,5200,5500,1900,21,605,7400
"3",3,1,1,2001,6.898,126.579,33,7.5,"MWC",0,9,"PHILIPPINES","PHILIPPINES:  MINDANAO",1,200,358,135,7000,28,229,7135
"4",4,1,1,2004,-8.31,115.788,44.5,5.8,"MWB",0,6,"INDONESIA","INDONESIA:  BALI, LOMBOK",1,29,20,6000,71,200,230,6071
"5",5,1,1,2004,17.488,-101.303,29.4,6.1,"MWC",0,6,"MEXICO","MEXICO:  GUERRERO, MEXICO CITY",13,11,10.5,300,700,28,52,1000
"6",6,1,1,2008,40.288,72.985,6,5.6,"MWC",0,9,"KYRGYZSTAN","KYRGYZSTAN:  OSH",5,7000,5,5385,200,62,7067,5585
"7",7,1,10,1969,-11.841,-75.051,10,6.6,"MW",0,11,"PERU","PERU:  HUAYTAPALLANA, LAMPA, CHILIFRUTA",150,2,5,45,554,200,352,599
"8",8,1,10,1987,34.061,-118.079,8.881,5.9,"MW",0,8,"USA","CALIFORNIA:  WHITTIER",8,200,358,105,2000,15,223,2105
"9",9,1,10,1995,38.063,30.134,33,6.4,"MW",0,8,"TURKEY","TURKEY:   DINAR, EVCILER",95,348,205.8,5100,1800,1,444,6900
"10",10,1,10,2003,50.211,87.721,10,6.7,"MWB",0,10,"RUSSIA","RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",2412,1500,14000,500,5000,21,3933,5500
"11",11,1,10,2004,11.989,-86.52,87.3,5.6,"MWC",0,8,"NICARAGUA","NICARAGUA:  CHINANDEGA, LEON",117,100,2.1,50,17,6,223,67
"12",12,1,10,2009,-2.482,101.524,9,6.6,"MWC",0,7,"INDONESIA","INDONESIA:  SUMATRA:  SOUTHERN:  KERINCI",3,7,10,22399,41000,6,16,63399
"13",13,1,11,1975,13.843,144.754,113,6.1,"MB",0,7,"USA TERRITORY","GUAM",5,5,1.1,8546,90,1,11,8636
"14",14,1,11,1978,39.349,72.615,40,6.8,"MS",0,9,"UZBEKISTAN","UZBEKISTAN:   ANDIZHAN; TAJIKISTAN:  DUSHANBE",32,40,358,11,500,62,134,511
"15",15,1,11,1989,39.837,142.76,28.6,7.4,"MW",1,6,"JAPAN","JAPAN:  HONSHU: N, AOMORI, MISAWA",2,136,170.4,300,20,62,200,320
"16",16,1,11,1995,-28.906,-71.417,19.9,6.7,"MW",1,4,"CHILE","CHILE:  NEAR CENTRAL COAST",5,2,1.45,38000,20,200,207,38020
"17",17,1,11,2011,43.648,82.437,28,5.6,"MWW",0,8,"CHINA","CHINA:  XINJIANG PROVINCE",81,51,10.5,2453,20,138,270,2473
"18",18,1,12,2003,42.905,80.515,10,6,"MWC",0,5,"CHINA","CHINA:  XINJIANG:  ZHAOSU",11,47,12.5,769,544,15,73,1313
"19",19,1,12,2006,-8.261,118.753,19,6.3,"MWC",0,4,"INDONESIA","INDONESIA:  SUMABAWA:  BIMA",1,14,5,20,1900,6,21,1920
"20",20,1,12,2016,-15.3122,-70.827,12,6.2,"MWW",0,6,"PERU","PERU:  PUNO, LAMPA",1,17,20,8,40,1,19,48
"21",21,1,2,1974,-7.383,155.575,40,7.1,"MS",1,6,"SOLOMON ISLANDS","SOLOMON ISLANDS",5,14,245,4270,50,1,20,4320
"22",22,1,2,1984,34.616,70.484,33,6.1,"MW",0,4,"AFGHANISTAN","AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",1,35,5,1500,160,15,51,1660
"23",23,1,2,1992,35.106,139.644,100,5.8,"MW",0,4,"JAPAN","JAPAN:  HONSHU:  TOKYO",9,37,358,43719,150,62,108,43869
"24",24,1,3,1994,29.096,52.617,12.9,6.1,"MW",0,7,"IRAN","IRAN:  SOUTHERN:  FIRUZABAD",2,50,250,4000,1000,138,190,5000
"25",25,1,3,1997,39.422,76.839,22.4,5.6,"MWC",0,7,"CHINA","CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",2,6,4,4000,160,15,23,4160
"26",26,1,3,2004,37.136,22.116,9.4,5.6,"MWB",0,8,"GREECE","GREECE:  SOUTHERN:  KALAMATA",180,112,550,1,3487,15,307,3488
"27",27,1,4,1968,32.449,132.269,34.2,7.5,"MW",1,7,"JAPAN","JAPAN:  KYUSHU, SHIKOKU",1,22,4000,135,100,15,38,235
"28",28,1,4,1973,11.663,43.035,31,5.9,"MS",0,6,"ETHIOPIA","ETHIOPIA:  DJIBOUTI",270,12,74,2992,685,70,352,3677
"29",29,1,4,2002,-29.67,-71.384,71,6.4,"MWC",0,6,"CHILE","CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",2,1200,2.1,50,55000,6,1208,55050
"30",30,1,4,2006,22.868,121.278,9,6.1,"MWB",0,7,"TAIWAN","TAIWAN:  T'AIT-TUNG",5,42,30,5385,10533,28,75,15918
"31",31,1,4,2007,-8.466,157.043,24,8.1,"MWC",1,8,"SOLOMON ISLANDS","SOLOMON ISLANDS",54,1214,200,300,500,9,1277,800
"32",32,1,4,2014,-19.6097,-70.7691,25,8.2,"MWW",1,8,"CHILE","CHILE:  NORTHERN:  IQUIQUE, ALTO HOSPICIO",7,86,1150,300,2500,9,102,2800
"33",33,1,5,1994,36.901,67.163,18.5,6.1,"MWB",0,6,"AFGHANISTAN","AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ",160,200,15,300,1000,15,375,1300
"34",34,1,5,2003,39.007,40.464,10,6.4,"MWB",0,5,"TURKEY","TURKEY:  BINGOL",177,521,75,718,718,1,699,1436
"35",35,1,5,2013,33.061,75.863,15,5.7,"MWW",0,8,"INDIA","INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",3,90,19.5,1136,95532,62,155,96668
"36",36,1,6,2013,7.275,124.898,10,5.6,"MWW",0,8,"PHILIPPINES","PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",1,33,5,70,164,9,43,234
"37",37,1,7,1974,-22.135,-64.735,13,5.9,"MS",0,8,"ARGENTINA","ARGENTINA:  LOS TOLDOS",38,1,2.1,1,15700,17,56,15701
"38",38,1,7,1979,8.316,-82.943,28,6.5,"MS",0,7,"PANAMA","PANAMA-COSTA RICA:  PUERTO ARMUELLES",300,2,2,83,554,1,303,637
"39",39,1,7,2000,34.221,139.131,10,6.1,"MWC",1,9,"JAPAN","JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA",1,4,55.6,3600,18771,11,16,22371
"40",40,1,8,1968,16.316,122.067,25,7.6,"MW",1,8,"PHILIPPINES","PHILIPPINES:  LUZON:  MANILA",270,261,8,154,3487,5,536,3641
"41",41,1,8,1975,39.439,-121.528,15,5.8,"MW",0,8,"USA","CALIFORNIA:  OROVILLE",1100,10,3,83,60,5,1115,143
"42",42,1,8,1975,39.4321667,-121.5458333,4.388,5.7,"ML",0,8,"USA","CALIFORNIA:  OROVILLE",1100,10,3,2992,200,5,1115,3192
"43",43,1,8,1989,-4.511,139.022,14.3,6.3,"MW",0,7,"INDONESIA","INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",120,1868,1,134,6615,6,1994,6749
"44",44,1,8,1993,15.385,31.69,12.5,5.5,"MW",0,6,"SUDAN","SUDAN:  KHARTOUM",2,9,5,8200,60,21,32,8260
"45",45,1,8,2007,-15.595,167.68,120,7.2,"MWB",0,7,"VANUATU","VANUATU ISLANDS:  LUGANVILLE",5,32,48,600,400,200,237,1000
"46",46,1,8,2008,32.033,104.722,11,5.7,"MWB",0,8,"CHINA","CHINA:  SICHUAN PROVINCE",20000,231,1500,540,540,200,20431,1080
"47",47,1,8,2014,36.8561,3.181,10,5.5,"MWW",0,7,"ALGERIA","ALGERIA:  ALGIERS",6,420,0.4,14,8229,11,437,8243
"48",48,1,9,1968,34.021,58.178,15,6.2,"MW",0,8,"IRAN","IRAN:  FERDOW",700,6,4,1500,95532,1,707,97032
"49",49,1,9,1981,-14.96,-173.085,25,7.7,"MS",1,6,"SAMOA","SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO",1,4750,796,800,43000,6,4757,43800
"50",50,1,9,1994,40.4055,-126.3028333,4.972,7,"MW",1,6,"USA","CALIFORNIA:  NORTH:  HONEYDEW",196,220,1.794,2305,200,11,427,2505
"51",51,1,9,2016,-37.3586,179.1461,19,7,"MWW",1,6,"NEW ZEALAND","NEW ZEALAND:  GISBORNE",1,64,50,400,6,366,431,406
"52",52,10,1,1970,6.785,126.682,40,7.2,"MW",1,6,"PHILIPPINES","PHILIPPINES:  MINDANAO",3,200,1700,2005,200,1,204,2205
"53",53,10,1,1971,-3.184,139.722,30,7.7,"MW",0,9,"INDONESIA","INDONESIA:  NEW GUINEA: IRIAN JAYA:DJAJAPURA,SENTANI",1,123,600,5500,2000,70,194,7500
"54",54,10,1,1998,41.083,114.5,30.3,5.7,"MWC",0,8,"CHINA","CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",70,11500,285.5,70000,2,62,11632,70002
"55",55,10,1,1998,14.374,-91.473,33,6.6,"MWC",0,8,"GUATEMALA","GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",2,27,1,8,7561,28,57,7569
"56",56,10,1,2002,-3.212,142.427,11,6.7,"MWC",0,10,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  AITAPE",1,300,30,200,2800,9,310,3000
"57",57,10,1,2010,40.652,-124.6925,28.737,6.5,"MW",0,6,"USA","CALIFORNIA:  OFF COAST NORTHERN",1641,30,21.8,1000,164,1,1672,1164
"58",58,10,10,1977,-25.856,-175.406,33,7.2,"MS",1,8,"TONGA","TONGA TRENCH",1,1,2.5,34,60000,6,8,60034
"59",59,10,10,1980,36.195,1.354,10,7.3,"MS",1,10,"ALGERIA","ALGERIA:  NORTHERN",5000,9000,5200,25000,18771,700,14700,43771
"60",60,10,10,1986,13.827,-89.118,7,5.7,"MW",0,6,"EL SALVADOR","EL SALVADOR:  SAN SALVADOR",1100,10000,1500,75000,169632,17,11117,244632
"61",61,10,10,2002,-1.757,134.297,10,7.6,"MWC",1,8,"INDONESIA","INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",8,632,1,1000,900,21,661,1900
"62",62,10,11,2008,37.565,95.833,19,6.3,"MWC",0,7,"CHINA","CHINA:  QINGHAI PROVINCE",6,3,4,160,500,62,71,660
"63",63,10,12,1967,17.412,73.885,15,6.6,"MW",0,8,"INDIA","INDIA",180,400,0.4,500,90,28,608,590
"64",64,10,12,1970,-4.026,-80.542,25,7.2,"MW",0,10,"PERU","PERU:  N;  ECUADOR:  S",82,350,6,544,2740,9,441,3284
"65",65,10,12,2003,23.039,121.362,10,6.8,"MWB",0,9,"TAIWAN","TAIWAN:  T'AI-TUNG, KAO-HSIUN",1,1,0.92,83,1000,15,17,1083
"66",66,10,2,1982,-6.863,106.936,39.8,5.5,"MB",0,9,"INDONESIA","INDONESIA:  JAVA, SUKABUMI",1,17,3.5,25000,4000,200,218,29000
"67",67,10,3,1981,39.481,20.699,31.1,5.6,"MB",0,8,"GREECE","GREECE:  PREVEZA",2,200,36,150,32,1,203,182
"68",68,10,3,1989,-4.346,152.797,53.3,5.8,"MW",0,5,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL",1,45,16,143,15,1,47,158
"69",69,10,3,1989,-13.702,34.42,30.3,6.2,"MB",0,6,"MALAWI","MALAWI:  SALIMA, DEDZA, MOHINJI",9,100,28,3487,8063,70,179,11550
"70",70,10,3,2011,24.727,97.957,10,5.5,"MWC",0,6,"CHINA","CHINA:  YUNNAN PROVINCE:  PINGYUAN",25,250,36,1039,12528,1,276,13567
"71",71,10,4,1972,28.415,52.765,10,6.6,"MW",0,9,"IRAN","IRAN:  QIR,KARZIN, JAHROM, FIRUZABAD",30000,1700,2.4,40,90,700,32400,130
"72",72,10,4,1998,32.457,59.976,33,5.8,"MWC",0,8,"IRAN","IRAN:  BIRJAND, GONABAD",12,10,1,3600,600,138,160,4200
"73",73,10,4,2003,38.221,26.958,10,5.8,"MWB",0,10,"TURKEY","TURKEY:  IZMIR, SEFERIHISAR",18,90,2.227,28,150,15,123,178
"74",74,10,4,2005,-1.644,99.607,19,6.7,"MWC",1,5,"INDONESIA","INDONESIA:  PADANG",1,3,6,1000,82000,1,5,83000
"75",75,10,4,2014,12.4029,-86.3783,13,6.1,"MWW",0,7,"NICARAGUA","NICARAGUA:  NAGAROTE, MANAGUA",1,250,358,191,1001,5,256,1192
"76",76,10,4,2016,36.4725,71.1311,212,6.6,"MWW",0,6,"AFGHANISTAN","AFGHANISTAN:  KHYBER PAKHTUNKHWA",6,5,50,600,20,11,22,620
"77",77,10,5,1974,28.243,104.015,11,6.8,"MS",0,7,"CHINA","CHINA:  YUNNAN AND SICHUAN PROVINCES, CHAO-T'UNG",20000,50000,1207,959000,959000,200,70200,1918000
"78",78,10,5,1975,-38.183,-73.232,6,7.7,"MS",0,9,"CHILE","CHILE:  CENTRAL",1,151,205.8,2305,66800,6,158,69105
"79",79,10,5,1985,-5.599,151.045,26.7,7.2,"MW",0,8,"PAPUA NEW GUINEA","PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",1,200,1,300,15,9,210,315
"80",80,10,5,1997,33.825,59.809,10,7.3,"MWB",0,10,"IRAN","IRAN:  BIRJAND, GHAEN",1728,2300,100,10533,10533,9,4037,21066
"81",81,10,6,1975,43.024,147.734,15,7,"MS",1,6,"RUSSIA","RUSSIA:  KURIL-JAPAN:  HOKKAIDO",1,104,134,58,100,138,243,158
